date_week,date,rain,Tair,rh,Mean_EVI,lncase_0,lncase_1,lncase_2,lncase_3,lncase_4
201301,2012/12/30,0.03486365,0.482712066,0.765868963,0.879203146,3.828641396,5.081404365,5.241747015,5.241747015,5.493061443
201302,2013/1/6,0.419808364,0.385347877,0.947088587,0.303499133,5.081404365,5.241747015,5.241747015,5.493061443,5.786897381
201303,2013/1/13,0.374858054,0.270059749,0.986786191,0,5.241747015,5.241747015,5.493061443,5.786897381,5.420534999
201304,2013/1/20,0.422412531,0.375360025,0.995223528,0.184822064,5.241747015,5.493061443,5.786897381,5.420534999,5.924255797
201305,2013/1/27,0.304911529,0.407824818,0.983951871,0.32369269,5.493061443,5.786897381,5.420534999,5.924255797,6.169610732
201306,2013/2/3,0.246194327,0.427277413,0.901737979,0.815826326,5.786897381,5.420534999,5.924255797,6.169610732,6.284134161
201307,2013/2/10,0.011397577,0.464206941,0.854452725,0.989416255,5.420534999,5.924255797,6.169610732,6.284134161,6.65415252
201308,2013/2/17,0.031701021,0.431542986,0.883451677,0.898982989,5.924255797,6.169610732,6.284134161,6.65415252,7.013915475
201309,2013/2/24,0.176139285,0.410045336,0.950753605,0.602279292,6.169610732,6.284134161,6.65415252,7.013915475,6.86171134
201310,2013/3/3,0.075689519,0.482308877,0.887243649,0.911300162,6.284134161,6.65415252,7.013915475,6.86171134,7.002155954
201311,2013/3/10,0.2780174,0.472813726,0.912979487,0.615163366,6.65415252,7.013915475,6.86171134,7.002155954,7.149131599
201312,2013/3/17,0.225846777,0.365819175,0.952339732,0.564926628,7.013915475,6.86171134,7.002155954,7.149131599,7.372746366
201313,2013/3/24,0.257032183,0.356239218,0.98789274,0.503713166,6.86171134,7.002155954,7.149131599,7.372746366,7.180069874
201314,2013/3/31,0.144134231,0.417684182,0.92456578,0.677263481,7.002155954,7.149131599,7.372746366,7.180069874,7.147559271
201315,2013/4/7,0.210197697,0.42846768,0.971864911,0.474688208,7.149131599,7.372746366,7.180069874,7.147559271,7.273786318
201316,2013/4/14,0.125953034,0.366663043,0.932442165,0.831981635,7.372746366,7.180069874,7.147559271,7.273786318,7.315883505
201317,2013/4/21,0.005103867,0.178543102,0.908467226,0.856307961,7.180069874,7.147559271,7.273786318,7.315883505,7.262628601
201318,2013/4/28,0,0.246749339,0.839164536,0.907478163,7.147559271,7.273786318,7.315883505,7.262628601,6.892641641
201319,2013/5/5,0.000790438,0.313731144,0.81930211,0.829462719,7.273786318,7.315883505,7.262628601,6.892641641,7.058758153
201320,2013/5/12,0.000374285,0.249430599,0.872331892,0.784223539,7.315883505,7.262628601,6.892641641,7.058758153,6.797940413
201321,2013/5/19,0,0.283557594,0.784609833,0.711173308,7.262628601,6.892641641,7.058758153,6.797940413,6.561030666
201322,2013/5/26,0.160565082,0.268904423,0.916338474,0.39622968,6.892641641,7.058758153,6.797940413,6.561030666,6.342121419
201323,2013/6/2,0.038123404,0.241861217,0.969364531,0.452602757,7.058758153,6.797940413,6.561030666,6.342121419,6.535241271
201324,2013/6/9,0.002222779,0.160694313,0.872837078,0.582641078,6.797940413,6.561030666,6.342121419,6.535241271,5.981414211
201325,2013/6/16,0.009437109,0.292353213,0.819358486,0.679852957,6.561030666,6.342121419,6.535241271,5.981414211,5.891644212
201326,2013/6/23,0.000196928,0.293672092,0.783678672,0.640939837,6.342121419,6.535241271,5.981414211,5.891644212,6.37331979
201327,2013/6/30,0,0.174599972,0.654009046,0.498040542,6.535241271,5.981414211,5.891644212,6.37331979,5.857933154
201328,2013/7/7,0,0.13293836,0.67195479,0.557993638,5.981414211,5.891644212,6.37331979,5.857933154,5.703782475
201329,2013/7/14,0.002576421,0.364855992,0.573693476,0.492378831,5.891644212,6.37331979,5.857933154,5.703782475,5.616771098
201330,2013/7/21,0,0.355234543,0.545315881,0.47207511,6.37331979,5.857933154,5.703782475,5.616771098,5.624017506
201331,2013/7/28,0,0.294801299,0.357863201,0.457860381,5.857933154,5.703782475,5.616771098,5.624017506,5.407171771
201332,2013/8/4,2.41E-05,0.3265245,0.353722551,0.443216156,5.703782475,5.616771098,5.624017506,5.407171771,4.852030264
201333,2013/8/11,1.21E-05,0.449718607,0.353596208,0.390165041,5.616771098,5.624017506,5.407171771,4.852030264,5.476463552
201334,2013/8/18,0.003606143,0.371666464,0.429305926,0.407491419,5.624017506,5.407171771,4.852030264,5.476463552,5.323009979
201335,2013/8/25,2.48E-05,0.485323434,0.280334896,0.382947471,5.407171771,4.852030264,5.476463552,5.323009979,4.844187086
